danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,id,mood,motivation,release_decade
0.508,0.792,-7.311,0.0297,0.229,0.124,0.601,147.067,7H0ya83CMmgFcOhw0UB6ow,1.0,1.0,2010s
0.618,0.155,-17.031,0.0799,0.811,3.3e-05,0.305,105.325,6BqrPvrPOwpYkdLCgSqtVB,0.0,0.0,2000s
0.516,0.322,-11.762,0.0292,0.473,0.00194,0.261,148.005,2L9N0zZnd37dwF0clgxMGI,0.0,0.0,2020s
0.331,0.114,-14.338,0.0358,0.957,0.000135,0.236,182.538,7l6XeAZ3nkrSt1DmXaRXyi,0.0,0.0,2020s
0.587,0.229,-11.254,0.128,0.92,0.0,0.379,75.67,6Kkt27YmFyIFrcX3QXFi2o,0.0,0.0,2010s
0.708,0.186,-8.953,0.042,0.868,0.0,0.322,72.541,6J2LdBN97cDWn0MLxYh9HB,0.0,0.0,2020s
0.464,0.126,-16.383,0.0647,0.816,3.67e-06,0.181,103.176,6pPLhloHxLWiMlAT5Xn1gw,0.0,0.0,2020s
0.519,0.612,-7.1,0.0254,0.181,7.08e-06,0.158,134.046,4kFmM894Q4sgHDl4pZalza,0.0,1.0,2010s
0.303,0.187,-16.757,0.0356,0.989,0.489,0.213,132.731,0V5cvmTKsYmF5FmGGEAfmS,0.0,0.0,2010s
0.23,0.0971,-27.043,0.0415,0.934,0.764,0.133,134.926,2EuqgpA1cTC95AQUgCcZHk,0.0,0.0,2010s
0.298,0.38,-8.426,0.0287,0.778,5.62e-05,0.152,75.602,4pvb0WLRcMtbPGmtejJJ6y,0.0,0.0,2020s
0.412,0.236,-15.159,0.0379,0.83,0.00653,0.119,140.214,3GYlZ7tbxLOxe6ewMNVTkw,0.0,0.0,2020s
0.592,0.263,-14.029,0.0568,0.845,5.68e-06,0.109,76.366,3B3eOgLJSqPEA0RfboIQVM,0.0,0.0,2000s
0.605,0.299,-11.192,0.0264,0.751,0.474,0.181,109.008,21JL0gpeAYgbSUmzhgSPJz,0.0,0.0,2010s
0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.35,87.568,2a1iMaoWQ5MnvLFBDv4qkf,0.0,0.0,1990s
0.523,0.0774,-23.594,0.0631,0.937,0.886,0.354,135.207,1JbUMtVkQuaAPdHOvncVTm,0.0,0.0,1990s
0.424,0.157,-18.141,0.0428,0.95,0.0593,0.342,91.537,3zsRP8rH1kaIAo9fmiP4El,0.0,0.0,2010s
0.49,0.104,-13.208,0.0635,0.964,0.0,0.278,86.675,0fB77VOZ2FkQeKLv1DuEwp,0.0,0.0,2010s
0.431,0.284,-11.858,0.0432,0.871,0.000136,0.229,98.317,7x8pIrhMu9FCmqqHNyuH0P,0.0,0.0,2010s
0.543,0.311,-10.018,0.0361,0.857,0.000684,0.134,126.86,3elOzp9X3B8vMGhJBWzbIF,0.0,0.0,2010s
0.523,0.769,-5.855,0.0269,0.04,0.0,0.876,136.162,0WQiDwKJclirSYG9v5tayI,1.0,1.0,1980s
0.672,0.129,-12.984,0.0336,0.888,6.03e-05,0.17,114.935,3Xy4XTx8YUspuzOAP1VteX,0.0,0.0,2010s
0.329,0.167,-13.103,0.0296,0.913,9.56e-05,0.0995,74.174,08YEGpKt2LHJ0URCXKHEie,0.0,0.0,2000s
0.52,0.341,-12.66,0.0534,0.842,0.0193,0.052,140.914,5VYCCPct242jtbidE13EKK,0.0,0.0,2010s
0.415,0.11,-14.901,0.0388,0.951,0.00236,0.234,81.876,1C042FLYy7rP3MfnkOcnha,0.0,0.0,2010s
0.715,0.32,-10.74,0.0293,0.887,1.46e-05,0.23,107.87,0PU4uOzbHVnGsRHyGhiDCr,0.0,0.0,2020s
